video_id,path,duration
2000,/root/bucket5/halfwitted-steganographs.mp4,59
2001,/root/bucket2/plottier-tortoises.mp4,54
2002,/root/bucket1/optic-buzzbaits.mp4,53
2003,/root/bucket2/reinvestment-changa.mp4,35
2004,/videos/2020-02-02/avizandums-gratulatory.mp4,40
2005,/root/bucket2/carboxylases-faint.mp4,54
2006,/root/bucket1/azym-abelia.mp4,33
2007,/videos/2020-02-02/subnets-wartweed.mp4,51
2008,/media/stottering-reusability.mp4,28
2009,/videos/2020-02-04/spring-transfixions.mp4,48
2010,/root/bucket1/twangy-multiuser.mp4,43
2011,/videos/2020-02-03/subbranches-spatially.mp4,6
2012,/root/bucket1/lepidopterists-dipshits.mp4,53
2013,/videos/2020-02-03/aerodart-porcelainise.mp4,49
2014,/media/blinking-trankums.mp4,58
2015,/media/tollgates-immedicably.mp4,35
2016,/media/hinges-caffeinic.mp4,60
2017,/videos/2020-02-02/noncomputerized-hillocks.mp4,53
2018,/root/bucket3/swingisms-floppily.mp4,47
2019,/videos/2020-02-01/deltiologist-motley.mp4,22
2020,/root/bucket2/nitchie-racketiest.mp4,57
2021,/videos/2020-02-04/voltaic-interpolates.mp4,5
2022,/root/bucket2/valuers-otherguess.mp4,45
2023,/root/bucket2/bejading-coppiced.mp4,7
2024,/root/bucket1/parotides-lairising.mp4,34
2025,/videos/2020-02-04/horopter-pindown.mp4,42
2026,/root/bucket4/stance-unsparred.mp4,49
2027,/root/bucket2/comorbid-rerevising.mp4,43
2028,/videos/2020-02-04/operosenesses-kiwifruit.mp4,12
2029,/media/hyperparathyroidisms-panaritiums.mp4,7
2030,/videos/2020-02-04/catamenia-forebodingness.mp4,41
2031,/videos/2020-02-02/vulcanologists-forthcome.mp4,57
2032,/root/bucket4/hedonistic-mams.mp4,9
2033,/root/bucket4/bioptic-sweetness.mp4,27
2034,/media/birdhouses-precisians.mp4,52
2035,/videos/2020-02-02/dilutees-spicate.mp4,35
2036,/root/bucket3/isomerizing-louma.mp4,49
2037,/media/squiresses-bigheadedness.mp4,34
2038,/media/employing-batsman.mp4,9
2039,/root/bucket5/tretinoins-fisheries.mp4,54
2040,/videos/2020-02-01/cognoscenti-waterworn.mp4,49
2041,/root/bucket2/screens-ippon.mp4,12
2042,/root/bucket4/singers-loerie.mp4,22
